id,commonName,scientificName,family,origin,description,ecologicalRole,rosarioPresence,floweringSeason,foliageType,badgeEmoji,tags,isDyePlant,dyeYieldLevel,usedParts,pigmentCompounds,colorCategoria,colores,mordantes,telas,solidez,extraccion,etica,cultural,fotoUrl
aguaribay,Aguaribay,Schinus areira (syn. Schinus molle),Anacardiaceae,Nativa (Argentina / Litoral),Árbol resinoso de gran porte y copa péndula similar a un sauce. Muy aromático al estrujar sus hojas compuestas. Muy resistente a las sequías y vientos del Río Paraná.,"Excelente retenedor de suelo en barrancas, refugio de aves passeriformes y generador de microclima fresco en plazas áridas.","Presente en grandes ejemplares en Parque Urquiza, Bosque de los Constituyentes, Parque Alem y canteros amplios de Av. Belgrano y Circunvalación.",Primavera - Frutos en verano y otoño,Perennifolio,🌿,Nativa | Tintórea Destacada | Hojas aromáticas | Fruto rosado | Barranca del Paraná,sí,Muy Alto,Hojas y ramillas tiernas caídas | Frutos maduros de pimienta rosa desprendidos,Quercetina | Miricetina | Flavonoles | Taninos hidrolizables,amarillo_dorado,Amarillo Solar Brillante=#E5A93C;Verde Oliva Musgo=#6B8E23;Mostaza Dorado=#C68B25;Pardo Canela Suave=#9A6B43,Alumbre de potasio (15% sobre peso fibra) | Sulfato de hierro (2% para virar a verde oliva),Lana ovina | Seda natural | Algodón pretratado con taninos / leche de soja,Alta (resistente a luz),Picar 100g de hojas caídas por cada 100g de lana seca. Macerar en agua de lluvia durante 12 h. Calentar a 80°C (sin hervir a borbotones para conservar el brillo del flavonoide) durante 45 minutos. Colar el baño e introducir la fibra mordentada.,"Recolectar exclusivamente hojas y ramillas caídas en el césped tras vientos, o frutos rosados caídos. No quebrar ramas del arbolado público de Rosario.","Considerado el ""Árbol Sagrado de los Incas"" y ampliamente adoptado en las estancias y caminos santafesinos coloniales como sombra y tinte textil.",
algarrobo_blanco,Algarrobo Blanco,Neltuma alba (syn. Prosopis alba),Fabaceae,Nativa (Argentina / Litoral),"Árbol sagrado del Gran Chaco y Espinal, de madera durísima, copa extendida y chauchas leguminosas curvadas ricas en azúcares y taninos.",Mejorador radical de la calidad del suelo por fijación simbiótica de nitrógeno; sus chauchas alimentan la fauna autóctona.,"Conservado y protegido en el Bosque de los Constituyentes (senda botánica de nativas), vivero municipal y sector de especies nativas de Parque Independencia.",Primavera (Octubre a Noviembre),Caducifolio,🪵,Nativa Sagrada | Herencia Textil Aborigen | Marrones Terrosos | Resistencia Extrema,sí,Muy Alto,Chauchas o vainas secas no comestibles del suelo | Aserrín de podas o corteza desprendida,Polifenoles complejos | Taninos condensados | Flavonoides,marron_tabaco,Pardo Tabaco Monte=#5D4037;Café Dorado Litoral=#795548;Negro Azabache Chaco-Santafesino=#212121;Ocre Tostado Claro=#9C6F44,Sulfato de hierro para negros | Alumbre para tonos café con leche y habano,Lana criolla | Algodón | Fibras de caraguatá y chaguar,Alta (resistente a luz),Machacar las vainas secas caídas. Dejar en remojo 24 horas. Hervir suavemente a fuego lento durante 1 hora y media. Con sulfato ferroso precipita un negro azabache de máxima permanencia.,Las chauchas caídas en el Bosque de los Constituyentes se juntan del suelo sin tocar las ramas espinosas.,Pilar de la economía y vestimenta de las comunidades originarias del norte santafesino (mocovíes y tobas). Teñían el chaguar y la lana con sus chauchas y tierra ferrífera.,
casuarina,Casuarina,Casuarina equisetifolia,Casuarinaceae,Exótica Adaptada,"Árbol de porte esbelto similar a un pino, pero angiosperma, con finas ramillas verdes articuladas y pequeños conos leñosos semejantes a piñitas.",Excelente cortavientos costero y fijador de dunas y orillas frente a las brisas del río.,"Grandes bosquecillos en el Bosque de los Constituyentes, Parque Urquiza y Costanera Norte.",Primavera,Perennifolio,🌲,Cortaviento Ribereño | Piñitas Leñosas | Castaños Cobrizos,sí,Alto,"Conos (""piñitas"") secos caídos en el suelo | Ramillas secas desprendidas",Taninos condensados (catequinas) | Ligninas,marron_tabaco,Marrón Cobrizo Bosque=#8B4513;Pardo Canela Tostado=#703612;Gris Carbón Grafito=#374151,Alumbre de potasio | Sulfato ferroso,Lana | Algodón | Lino,Alta (resistente a luz),Hervir 150g de piñitas secas recolectadas del suelo durante 1 hora. Colar el líquido denso e introducir la fibra.,El suelo bajo los montes de casuarina suele estar cubierto de millares de piñitas secas. Facilísimo de juntar sin dañar el árbol.,Muy popular en las islas del Delta y costas del Plata por su alta permanencia y resistencia al agua de lavado.,
ceibo,Ceibo,Erythrina crista-galli,Fabaceae,Nativa (Argentina / Litoral),"Árbol hidrofilo ribereño de madera blanda, corteza suberosa y flores de color rojo escarlata brillante aterciopeladas dispuestas en racimos. Flor Nacional de Argentina.","Consolidador esencial de márgenes fluviales e islas del Delta del Paraná, tolerante a crecidas e inundaciones temporarias.","Abundante alrededor del laguito del Parque Independencia, a lo largo de la ribera del Monumento a la Bandera, Parque de España, La Florida y Bosque de los Constituyentes.",Primavera y verano (Octubre a Marzo),Caducifolio,🌺,Flor Nacional | Nativa Ribereña | Rosa y Coral Textil | Río Paraná,sí,Alto,Pétalos caídos maduros carmesí (recolectados del suelo) | Corteza suberosa de podas municipales,Antocianinas (pelargonidina y cianidina) | Eritrina | Taninos catéquicos,rosa_coral,Rosa Palo Melocotón=#D47C85;Coral Terracota Suave=#E07A5F;Beige Ocre Tostado=#B58A63;Lavanda Ahumado=#8C7A87,Alumbre de potasio (12%) | Cremor tártaro (4% como estabilizador de brillo),Lana pura | Seda cruda,Media-Alta,Recolectar 150g de flores caídas del suelo. Macerar en agua a 60°C (temperatura moderada para que las antocianinas no se pardeen por calor excesivo). Teñir lana peinada mordentada con alumbre.,Las flores caen en profusión alfombrando el suelo bajo los árboles del Rosedal y orillas del Laguito. Juntar solo las caídas limpias.,"Símbolo cultural de Rosario y Argentina. En el cancionero popular y la memoria de los pueblos costeros del Paraná, la flor del ceibo tiñó lienzos caseros.",
crespon,Crespón,Lagerstroemia indica,Lythraceae,Exótica Adaptada,"Arbolito de vereda angosta con tronco liso muy escultural jaspeado y una floración veraniega copiosa con pétalos rizados fucsias, lilas y blancos.",Ideal para veredas angostas de Rosario donde no caben árboles de gran porte; polinizadores en época cálida.,"Más de 10.000 ejemplares en veredas angostas de barrios República de la Sexta, Arroyito, Echesortu y Pichincha.",Todo el verano (Diciembre a Marzo),Caducifolio,🌺,Veredas Angostas | Flores Rizadas de Verano | Tronco Escultural | No Tintórea,no,Experimental,,,rosa_coral,,,,Media-Alta,No utilizado para tintes textiles por su baja solidez y escasa concentración tanínica.,No arrancar las flores rizadas de las aceras residenciales.,Muy elegido por los vecinos rosarinos para frentes de viviendas por sus raíces no invasivas.,
curupi,Curupí,Sapium haematospermum,Euphorbiaceae,Nativa (Argentina / Litoral),Árbol costero del Paraná de corteza agrietada y látex blanquecino en sus tejidos. Sus hojas se tornan rojas y violáceas antes de caer en otoño.,Colonizador pionero de playas e islas de arena frente a Rosario; resiste grandes crecidas del río.,"Costanera Norte, desembocadura del Arroyo Ludueña en Parque Alem y orillas húmedas del Bosque de los Constituyentes.",Primavera tardía,Caducifolio,🌿,Nativa Ribereña | Costanera del Paraná | Tintes Verdosos Ahumados,sí,Medio,Hojas otoñales maduras secas caídas,Taninos gálicos | Pigmentos resinosos,verde_oliva,Verde Oliva Ahumado=#556B2F;Pardo Verdoso Río Paraná=#4A5335;Beige Arcilloso=#A39171,Alumbre de potasio | Sulfato ferroso,Algodón | Lino,Media-Alta,Utilizar exclusivamente hojas otoñales secas (evitar ramas vivas con látex). Hervir 40 minutos y teñir telas previamente preparadas.,Precaución: el látex de las ramas verdes es irritante. Usar solo hojas secas caídas del suelo.,Tradicionalmente usado en las islas frente a Rosario como tintórea vegetal y adhesivo artesanal.,
espinillo,Espinillo,Vachellia caven (syn. Acacia caven),Fabaceae,Nativa (Argentina / Litoral),Árbol emblemático del bioma Espinal en Santa Fe. Posee flores pomponiformes amarillas intensamente perfumadas y vainas leñosas oscuras cilíndricas.,Fijador natural de nitrógeno en el suelo mediante simbiosis bacteriana; sustento indispensable para abejas nativas y orugas de mariposas.,"Especie insignia en el Bosque de los Constituyentes (sector del Espinillal nativo), riberas del arroyo Ludueña y Parque Scalabrini Ortiz.",Finales de invierno a primavera temprana (Agosto-Octubre),Caducifolio,🌼,Nativa Regional | Emblema del Espinal | Tinte Ferrogálico | Perfume Primaveral,sí,Muy Alto,Flores amarillas desprendidas (primavera) | Chauchas o vainas negras caídas secas (otoño-invierno),Ácido gálico | Catequinas | Taninos condensados (hasta 20% en fruto) | Flavonoides florales,marron_tabaco,Amarillo Dorado Aromo=#F4C430;Pardo Tabaco Profundo=#4A2E18;Negro Azabache Tradicional=#1C1917;Gris Pizarra Mineral=#4B5563,Sulfato de hierro (reacción inmediata con taninos para negros y grises) | Alumbre de potasio,Lana | Algodón agroecológico | Lino | Yute,Alta (resistente a luz),Con vainas secas: triturar 50g de chauchas leñosas secas caídas. Hervir a fuego medio durante 1 hora. Con sulfato ferroso (agua ferruginosa con clavos oxidados o sal ferrosa de botica) se transforma en negro oscuro indeleble.,Juntar las vainas secas directamente del suelo durante el otoño/invierno rosarino. Las chauchas en el suelo tienen su máxima carga de taninos.,Históricamente utilizado por artesanos criollos del litoral santafesino para curtir cueros y teñir mantas y ponchos de negro sin químicos sintéticos.,
eucalipto,Eucalipto,Eucalyptus camaldulensis / Eucalyptus cinerea,Myrtaceae,Exótica Adaptada,Árbol colosal de corteza exfoliante en placas multicolor y follaje aromático glauco con alto contenido de aceites esenciales (eucaliptol).,Drenaje de suelos anegadizos históricos y refugio de avifauna en grandes parques periféricos.,"Enormes montes y alineaciones en el Parque Scalabrini Ortiz, Parque Alem, Parque Independencia y Bosque de los Constituyentes.",Verano,Perennifolio,🍃,Reina del Eco-Print | Tinte Sustantivo Potente | Naranjas Óxido | Hojas Aromáticas,sí,Muy Alto,Hojas caídas aromáticas (frescas y secas) | Placas de corteza que el tronco descascara solo en verano,Cineol | Taninos elágicos | Eucaliptina | Rutin,naranja_terracota,Naranja Óxido Austral=#D35400;Terracota Cobrizo Profundo=#A04000;Verde Oliva Forestal=#445522;Dorado Cobrizo=#B87333,Ninguno necesario (altamente sustantivo) | Hierro para estampación botánica directa (Eco-print),Lana | Seda | Algodón | Lino,Alta (resistente a luz),"Hervir 100g de hojas caídas en agua durante 1 hora (libera un delicioso aroma mentolado). Dejar enfriar. Para ecoprint: colocar hojas enteras sobre tela mordentada con hierro, enrollar en palo y cocinar al vapor 1.5 horas.",El árbol expulsa constantemente toneladas de hojas secas y cortezas que cubren el suelo de Parque Scalabrini Ortiz. Juntar siempre del suelo.,"Es el material predilecto de las artistas textiles del Litoral para la técnica de ""ecoprint"" o impresión botánica en contacto.",
ficus_benjamina,Ficus Benjamina,Ficus benjamina,Moraceae,Exótica Adaptada,"Árbol perennifolio de follaje tupido verde brillante. Aunque popular en interiores, en Rosario muchos crecieron en veredas alcanzando gran porte.",Sombra permanente todo el año.,Unos 9.000 ejemplares en veredas residenciales céntricas y de Macrocentro.,Insignificante (Sicono cerrado),Perennifolio,🪴,Follaje Perenne | No Tintórea | Veredas Residenciales,no,Experimental,,,amarillo_dorado,,,,Media-Alta,No apto para teñido textil. Su látex blanco gomoso dificulta cualquier extracción tintórea limpia.,No desgajar ramas.,Plantado masivamente en las décadas de 1980 y 1990 en aceras residenciales.,
fresno_americano,Fresno Americano,Fraxinus pennsylvanica,Oleaceae,Exótica Adaptada,El árbol más representativo y abundante de las calles de Rosario: constituye entre el 36% y 39% de todo el arbolado de alineación de la ciudad. Copa redondeada y follaje verde claro que amarillea en otoño.,"Esencial para la climatización urbana de Rosario: genera sombra densa en verano, protege el asfalto del sol abrasador y permite el paso del sol invernal al perder sus hojas.","El rey de las veredas: presente en más de 85.000 veredas de todos los distritos de Rosario (Centro, Sur, Norte, Noroeste, Oeste, Sudoeste).",Primavera temprana (antes de las hojas),Caducifolio,🌳,Rey del Arbolado de Rosario | 38% del Censo Urbano | Sombra Estival | No Tintórea,no,Experimental,,,amarillo_dorado,,,,Media-Alta,No se utiliza para teñido textil. Su valor en Rosario radica en su aporte de sombra estival y purificación ambiental.,No recolectar para teñido. Dejar cumplir su función de arbolado de alineación en las veredas.,Fue la especie más plantada durante la segunda mitad del siglo XX en Rosario por su rápido crecimiento y excelente tolerancia a las podas de cableado.,
